R0,natural_cross_immunity,vaccine_timing,vaccine_coverage,vaccine_cross_immunity,emergences,trials
3,0.0,-240,0.0,0.05,1906,5000
6,0.75,90,0.0416666666666666,0.05,2069,5000
6,1.0,-150,0.6666666666666666,0.05,1156,5000
2,0.0,-120,0.6666666666666666,0.05,1061,5000
3,0.0,-120,0.6666666666666666,0.05,1915,5000
4,0.0,-120,0.6666666666666666,0.05,2390,5000
5,0.0,-120,0.6666666666666666,0.05,2817,5000
6,0.0,-120,0.6666666666666666,0.05,3100,5000
2,0.25,-120,0.6666666666666666,0.05,754,5000
3,0.25,-120,0.6666666666666666,0.05,1598,5000
4,0.25,-120,0.6666666666666666,0.05,2202,5000
5,0.25,-120,0.6666666666666666,0.05,2501,5000
2,1.0,90,0.0416666666666666,0.05,0,5000
6,0.25,-120,0.6666666666666666,0.05,2842,5000
2,0.5,-120,0.6666666666666666,0.05,330,5000
3,0.5,-120,0.6666666666666666,0.05,1094,5000
4,0.5,-120,0.6666666666666666,0.05,1741,5000
5,0.5,-120,0.6666666666666666,0.05,2229,5000
6,0.5,-120,0.6666666666666666,0.05,2552,5000
2,0.75,-120,0.6666666666666666,0.05,28,5000
3,0.75,-120,0.6666666666666666,0.05,550,5000
4,0.75,-120,0.6666666666666666,0.05,1207,5000
5,0.75,-120,0.6666666666666666,0.05,1634,5000
3,1.0,90,0.0416666666666666,0.05,6,5000
6,0.75,-120,0.6666666666666666,0.05,2123,5000
2,1.0,-120,0.6666666666666666,0.05,0,5000
3,1.0,-120,0.6666666666666666,0.05,9,5000
4,1.0,-120,0.6666666666666666,0.05,200,5000
5,1.0,-120,0.6666666666666666,0.05,705,5000
6,1.0,-120,0.6666666666666666,0.05,1158,5000
2,0.0,-90,0.6666666666666666,0.05,978,5000
3,0.0,-90,0.6666666666666666,0.05,1856,5000
4,0.0,-90,0.6666666666666666,0.05,2389,5000
5,0.0,-90,0.6666666666666666,0.05,2775,5000
4,1.0,90,0.0416666666666666,0.05,174,5000
6,0.0,-90,0.6666666666666666,0.05,3044,5000
2,0.25,-90,0.6666666666666666,0.05,747,5000
3,0.25,-90,0.6666666666666666,0.05,1507,5000
