R0,natural_cross_immunity,vaccine_timing,vaccine_coverage,vaccine_cross_immunity,group,emergences,trials
2,1,60,0.5416666666666666,1,18,6,50
3,1,60,0.5416666666666666,1,18,15,50
4,1,60,0.5416666666666666,1,18,17,50
5,1,60,0.5416666666666666,1,18,29,50
6,1,60,0.5416666666666666,1,18,33,50
2,0,90,0.5416666666666666,0,18,10,50
3,0,90,0.5416666666666666,0,18,18,50
4,0,90,0.5416666666666666,0,18,23,50
5,0,90,0.5416666666666666,0,18,26,50
6,0,90,0.5416666666666666,0,18,30,50
2,0.25,90,0.5416666666666666,0.25,18,10,50
3,0.25,90,0.5416666666666666,0.25,18,18,50
4,0.25,90,0.5416666666666666,0.25,18,20,50
5,0.25,90,0.5416666666666666,0.25,18,21,50
6,0.25,90,0.5416666666666666,0.25,18,31,50
2,0.5,90,0.5416666666666666,0.5,18,15,50
3,0.5,90,0.5416666666666666,0.5,18,21,50
4,0.5,90,0.5416666666666666,0.5,18,30,50
5,0.5,90,0.5416666666666666,0.5,18,33,50
6,0.5,90,0.5416666666666666,0.5,18,35,50
2,0.75,90,0.5416666666666666,0.75,18,13,50
3,0.75,90,0.5416666666666666,0.75,18,17,50
4,0.75,90,0.5416666666666666,0.75,18,23,50
5,0.75,90,0.5416666666666666,0.75,18,25,50
6,0.75,90,0.5416666666666666,0.75,18,35,50
2,1,90,0.5416666666666666,1,18,9,50
3,1,90,0.5416666666666666,1,18,24,50
4,1,90,0.5416666666666666,1,18,24,50
5,1,90,0.5416666666666666,1,18,32,50
6,1,90,0.5416666666666666,1,18,28,50
2,0,120,0.5416666666666666,0,18,8,50
3,0,120,0.5416666666666666,0,18,24,50
4,0,120,0.5416666666666666,0,18,27,50
5,0,120,0.5416666666666666,0,18,27,50
6,0,120,0.5416666666666666,0,18,29,50
2,0.25,120,0.5416666666666666,0.25,18,13,50
3,0.25,120,0.5416666666666666,0.25,18,23,50
4,0.25,120,0.5416666666666666,0.25,18,26,50
5,0.25,120,0.5416666666666666,0.25,18,28,50
6,0.25,120,0.5416666666666666,0.25,18,37,50
2,0.5,120,0.5416666666666666,0.5,18,8,50
3,0.5,120,0.5416666666666666,0.5,18,25,50
4,0.5,120,0.5416666666666666,0.5,18,21,50
5,0.5,120,0.5416666666666666,0.5,18,25,50
6,0.5,120,0.5416666666666666,0.5,18,25,50
2,0.75,120,0.5416666666666666,0.75,18,12,50
3,0.75,120,0.5416666666666666,0.75,18,27,50
4,0.75,120,0.5416666666666666,0.75,18,31,50
5,0.75,120,0.5416666666666666,0.75,18,28,50
6,0.75,120,0.5416666666666666,0.75,18,30,50
2,1,120,0.5416666666666666,1,18,9,50
3,1,120,0.5416666666666666,1,18,19,50
4,1,120,0.5416666666666666,1,18,28,50
5,1,120,0.5416666666666666,1,18,32,50
6,1,120,0.5416666666666666,1,18,33,50
2,0,150,0.5416666666666666,0,18,10,50
3,0,150,0.5416666666666666,0,18,16,50
4,0,150,0.5416666666666666,0,18,22,50
5,0,150,0.5416666666666666,0,18,29,50
6,0,150,0.5416666666666666,0,18,29,50
2,0.25,150,0.5416666666666666,0.25,18,9,50
3,0.25,150,0.5416666666666666,0.25,18,20,50
4,0.25,150,0.5416666666666666,0.25,18,25,50
5,0.25,150,0.5416666666666666,0.25,18,24,50
6,0.25,150,0.5416666666666666,0.25,18,33,50
2,0.5,150,0.5416666666666666,0.5,18,9,50
3,0.5,150,0.5416666666666666,0.5,18,22,50
4,0.5,150,0.5416666666666666,0.5,18,26,50
5,0.5,150,0.5416666666666666,0.5,18,32,50
6,0.5,150,0.5416666666666666,0.5,18,31,50
2,0.75,150,0.5416666666666666,0.75,18,13,50
3,0.75,150,0.5416666666666666,0.75,18,23,50
4,0.75,150,0.5416666666666666,0.75,18,25,50
5,0.75,150,0.5416666666666666,0.75,18,30,50
6,0.75,150,0.5416666666666666,0.75,18,30,50
2,1,150,0.5416666666666666,1,18,10,50
3,1,150,0.5416666666666666,1,18,14,50
4,1,150,0.5416666666666666,1,18,24,50
5,1,150,0.5416666666666666,1,18,31,50
6,1,150,0.5416666666666666,1,18,28,50
2,0,180,0.5416666666666666,0,18,18,50
3,0,180,0.5416666666666666,0,18,12,50
4,0,180,0.5416666666666666,0,18,27,50
5,0,180,0.5416666666666666,0,18,26,50
6,0,180,0.5416666666666666,0,18,27,50
2,0.25,180,0.5416666666666666,0.25,18,9,50
3,0.25,180,0.5416666666666666,0.25,18,14,50
4,0.25,180,0.5416666666666666,0.25,18,26,50
5,0.25,180,0.5416666666666666,0.25,18,27,50
6,0.25,180,0.5416666666666666,0.25,18,32,50
2,0.5,180,0.5416666666666666,0.5,18,12,50
3,0.5,180,0.5416666666666666,0.5,18,20,50
4,0.5,180,0.5416666666666666,0.5,18,27,50
5,0.5,180,0.5416666666666666,0.5,18,26,50
6,0.5,180,0.5416666666666666,0.5,18,34,50
2,0.75,180,0.5416666666666666,0.75,18,9,50
3,0.75,180,0.5416666666666666,0.75,18,24,50
4,0.75,180,0.5416666666666666,0.75,18,21,50
5,0.75,180,0.5416666666666666,0.75,18,25,50
6,0.75,180,0.5416666666666666,0.75,18,36,50
2,1,180,0.5416666666666666,1,18,10,50
3,1,180,0.5416666666666666,1,18,18,50
4,1,180,0.5416666666666666,1,18,25,50
5,1,180,0.5416666666666666,1,18,25,50
6,1,180,0.5416666666666666,1,18,30,50
2,0,210,0.5416666666666666,0,18,11,50
3,0,210,0.5416666666666666,0,18,18,50
4,0,210,0.5416666666666666,0,18,26,50
5,0,210,0.5416666666666666,0,18,23,50
6,0,210,0.5416666666666666,0,18,35,50
2,0.25,210,0.5416666666666666,0.25,18,16,50
3,0.25,210,0.5416666666666666,0.25,18,20,50
