virus,vaccine_timing,vaccine_coverage,group,emergences,trials
1,-150,0.20833333333333331,21,2,100000
2,-150,0.20833333333333331,21,6866,100000
3,-150,0.20833333333333331,21,4154,100000
4,-150,0.20833333333333331,21,6244,100000
1,-120,0.20833333333333331,21,2,100000
2,-120,0.20833333333333331,21,6753,100000
3,-120,0.20833333333333331,21,4082,100000
4,-120,0.20833333333333331,21,6065,100000
1,-90,0.20833333333333331,21,1,100000
2,-90,0.20833333333333331,21,6649,100000
3,-90,0.20833333333333331,21,4072,100000
4,-90,0.20833333333333331,21,5940,100000
1,-60,0.20833333333333331,21,2,100000
2,-60,0.20833333333333331,21,6586,100000
3,-60,0.20833333333333331,21,4079,100000
4,-60,0.20833333333333331,21,5995,100000
1,-30,0.20833333333333331,21,3,100000
2,-30,0.20833333333333331,21,6153,100000
3,-30,0.20833333333333331,21,3837,100000
4,-30,0.20833333333333331,22,5812,100000
1,0,0.20833333333333331,22,2,100000
2,0,0.20833333333333331,22,6266,100000
3,0,0.20833333333333331,22,3878,100000
4,0,0.20833333333333331,22,5774,100000
1,30,0.20833333333333331,22,2,100000
2,30,0.20833333333333331,22,6588,100000
3,30,0.20833333333333331,22,4070,100000
4,30,0.20833333333333331,22,5995,100000
1,60,0.20833333333333331,22,2,100000
2,60,0.20833333333333331,22,6795,100000
3,60,0.20833333333333331,22,4006,100000
4,60,0.20833333333333331,22,6046,100000
1,90,0.20833333333333331,22,2,100000
2,90,0.20833333333333331,22,6898,100000
3,90,0.20833333333333331,22,4131,100000
4,90,0.20833333333333331,22,6070,100000
1,120,0.20833333333333331,22,0,100000
2,120,0.20833333333333331,22,6756,100000
3,120,0.20833333333333331,22,4121,100000
4,120,0.20833333333333331,22,6273,100000
1,150,0.20833333333333331,22,1,100000
2,150,0.20833333333333331,22,7042,100000
3,150,0.20833333333333331,22,4095,100000
4,150,0.20833333333333331,22,6284,100000
1,180,0.20833333333333331,22,0,100000
2,180,0.20833333333333331,23,6986,100000
3,180,0.20833333333333331,23,4207,100000
4,180,0.20833333333333331,23,6266,100000
1,210,0.20833333333333331,23,2,100000
2,210,0.20833333333333331,23,6982,100000
3,210,0.20833333333333331,23,4249,100000
4,210,0.20833333333333331,23,6158,100000
1,240,0.20833333333333331,23,0,100000
2,240,0.20833333333333331,23,7057,100000
3,240,0.20833333333333331,23,4326,100000
4,240,0.20833333333333331,23,6366,100000
1,270,0.20833333333333331,23,1,100000
2,270,0.20833333333333331,23,7138,100000
3,270,0.20833333333333331,23,4306,100000
4,270,0.20833333333333331,23,6323,100000
1,300,0.20833333333333331,23,2,100000
2,300,0.20833333333333331,23,7031,100000
3,300,0.20833333333333331,23,4266,100000
4,300,0.20833333333333331,23,6340,100000
1,330,0.20833333333333331,23,2,100000
2,330,0.20833333333333331,23,7054,100000
3,330,0.20833333333333331,23,4207,100000
4,330,0.20833333333333331,23,6344,100000
1,360,0.20833333333333331,23,1,100000
2,360,0.20833333333333331,23,7072,100000
3,360,0.20833333333333331,23,4395,100000
4,360,0.20833333333333331,24,6314,100000
1,-360,0.25,24,4,100000
2,-360,0.25,24,7137,100000
3,-360,0.25,24,4302,100000
4,-360,0.25,24,6427,100000
1,-330,0.25,24,4,100000
2,-330,0.25,24,7011,100000
3,-330,0.25,24,4224,100000
4,-330,0.25,24,6272,100000
1,-300,0.25,24,5,100000
2,-300,0.25,24,7055,100000
3,-300,0.25,24,4351,100000
4,-300,0.25,24,6283,100000
1,-270,0.25,24,3,100000
2,-270,0.25,24,7094,100000
3,-270,0.25,24,4227,100000
4,-270,0.25,24,6210,100000
1,-240,0.25,24,0,100000
2,-240,0.25,24,6918,100000
3,-240,0.25,24,4173,100000
4,-240,0.25,24,6384,100000
1,-210,0.25,24,5,100000
2,-210,0.25,24,6916,100000
3,-210,0.25,24,4154,100000
4,-210,0.25,24,6337,100000
1,-180,0.25,24,3,100000
2,-180,0.25,25,6877,100000
3,-180,0.25,25,4190,100000
4,-180,0.25,25,6232,100000
1,-150,0.25,25,2,100000
2,-150,0.25,25,6836,100000
3,-150,0.25,25,4225,100000
4,-150,0.25,25,6267,100000
1,-120,0.25,25,0,100000
2,-120,0.25,25,6688,100000
3,-120,0.25,25,4140,100000
4,-120,0.25,25,6074,100000
1,-90,0.25,25,1,100000
2,-90,0.25,25,6434,100000
3,-90,0.25,25,3965,100000
4,-90,0.25,25,6165,100000
1,-60,0.25,25,2,100000
2,-60,0.25,25,6397,100000
3,-60,0.25,25,3870,100000
4,-60,0.25,25,5848,100000
1,-30,0.25,25,0,100000
2,-30,0.25,25,6085,100000
3,-30,0.25,25,3816,100000
4,-30,0.25,25,5564,100000
1,0,0.25,25,1,100000
2,0,0.25,25,6029,100000
3,0,0.25,25,3841,100000
4,0,0.25,26,5676,100000
1,30,0.25,26,2,100000
2,30,0.25,26,6384,100000
3,30,0.25,26,3868,100000
4,30,0.25,26,5939,100000
1,60,0.25,26,3,100000
2,60,0.25,26,6510,100000
3,60,0.25,26,3968,100000
4,60,0.25,26,6010,100000
1,90,0.25,26,5,100000
2,90,0.25,26,6717,100000
3,90,0.25,26,4080,100000
4,90,0.25,26,6085,100000
1,120,0.25,26,4,100000
2,120,0.25,26,6766,100000
3,120,0.25,26,4069,100000
4,120,0.25,26,6117,100000
1,150,0.25,26,2,100000
2,150,0.25,26,6986,100000
3,150,0.25,26,4182,100000
4,150,0.25,26,6190,100000
1,180,0.25,26,2,100000
2,180,0.25,26,6951,100000
3,180,0.25,26,4310,100000
4,180,0.25,26,6224,100000
1,210,0.25,26,2,100000
2,210,0.25,27,6772,100000
3,210,0.25,27,4180,100000
4,210,0.25,27,6292,100000
1,240,0.25,27,0,100000
2,240,0.25,27,7002,100000
3,240,0.25,27,4253,100000
4,240,0.25,27,6352,100000
1,270,0.25,27,1,100000
2,270,0.25,27,7021,100000
3,270,0.25,27,4225,100000
4,270,0.25,27,6392,100000
1,300,0.25,27,1,100000
2,300,0.25,27,6978,100000
3,300,0.25,27,4369,100000
4,300,0.25,27,6420,100000
1,330,0.25,27,3,100000
2,330,0.25,27,6956,100000
3,330,0.25,27,4228,100000
4,330,0.25,27,6358,100000
1,360,0.25,27,6,100000
2,360,0.25,27,7048,100000
3,360,0.25,27,4318,100000
4,360,0.25,27,6288,100000
1,-360,0.29166666666666663,27,2,100000
2,-360,0.29166666666666663,27,7057,100000
3,-360,0.29166666666666663,27,4328,100000
4,-360,0.29166666666666663,28,6325,100000
1,-330,0.29166666666666663,28,4,100000
2,-330,0.29166666666666663,28,6904,100000
3,-330,0.29166666666666663,28,4373,100000
4,-330,0.29166666666666663,28,6403,100000
1,-300,0.29166666666666663,28,2,100000
2,-300,0.29166666666666663,28,6992,100000
3,-300,0.29166666666666663,28,4256,100000
4,-300,0.29166666666666663,28,6449,100000
1,-270,0.29166666666666663,28,4,100000
2,-270,0.29166666666666663,28,6992,100000
3,-270,0.29166666666666663,28,4212,100000
4,-270,0.29166666666666663,28,6202,100000
1,-240,0.29166666666666663,28,1,100000
2,-240,0.29166666666666663,28,7044,100000
3,-240,0.29166666666666663,28,4316,100000
4,-240,0.29166666666666663,28,6318,100000
1,-210,0.29166666666666663,28,4,100000
2,-210,0.29166666666666663,28,6960,100000
3,-210,0.29166666666666663,28,4318,100000
4,-210,0.29166666666666663,28,6126,100000
1,-180,0.29166666666666663,28,3,100000
2,-180,0.29166666666666663,28,6851,100000
3,-180,0.29166666666666663,28,4231,100000
4,-180,0.29166666666666663,28,6220,100000
1,-150,0.29166666666666663,28,2,100000
2,-150,0.29166666666666663,29,6727,100000
3,-150,0.29166666666666663,29,4213,100000
4,-150,0.29166666666666663,29,6261,100000
1,-120,0.29166666666666663,29,0,100000
2,-120,0.29166666666666663,29,6669,100000
3,-120,0.29166666666666663,29,4066,100000
4,-120,0.29166666666666663,29,6169,100000
1,-90,0.29166666666666663,29,1,100000
2,-90,0.29166666666666663,29,6619,100000
3,-90,0.29166666666666663,29,4103,100000
4,-90,0.29166666666666663,29,5866,100000
1,-60,0.29166666666666663,29,3,100000
2,-60,0.29166666666666663,29,6180,100000
3,-60,0.29166666666666663,29,3861,100000
4,-60,0.29166666666666663,29,5722,100000
1,-30,0.29166666666666663,29,1,100000
2,-30,0.29166666666666663,29,5808,100000
3,-30,0.29166666666666663,29,3608,100000
4,-30,0.29166666666666663,29,5572,100000
1,0,0.29166666666666663,29,1,100000
2,0,0.29166666666666663,29,5954,100000
3,0,0.29166666666666663,29,3692,100000
4,0,0.29166666666666663,29,5590,100000
1,30,0.29166666666666663,29,2,100000
2,30,0.29166666666666663,29,6281,100000
3,30,0.29166666666666663,29,3851,100000
2,30,0,3,6961,100000
3,30,0,3,4236,100000
4,30,0,3,6333,100000
1,60,0,3,3,100000
2,60,0,3,6955,100000
3,60,0,3,4367,100000
4,60,0,3,6177,100000
1,90,0,3,1,100000
2,90,0,3,7116,100000
3,90,0,3,4235,100000
4,90,0,3,6415,100000
1,120,0,3,0,100000
2,120,0,3,7109,100000
3,120,0,3,4375,100000
4,120,0,3,6208,100000
1,150,0,3,1,100000
2,150,0,3,7059,100000
3,150,0,3,4364,100000
4,150,0,3,6245,100000
1,180,0,3,3,100000
2,180,0,3,6759,100000
3,180,0,3,4275,100000
4,180,0,3,6299,100000
1,210,0,3,0,100000
2,210,0,3,7077,100000
3,210,0,3,4391,100000
4,30,0.29166666666666663,30,5626,100000
1,60,0.29166666666666663,30,3,100000
2,60,0.29166666666666663,30,6395,100000
3,60,0.29166666666666663,30,3930,100000
4,60,0.29166666666666663,30,5959,100000
1,90,0.29166666666666663,30,2,100000
2,90,0.29166666666666663,30,6721,100000
