R0,natural_cross_immunity,vaccine_timing,vaccine_coverage,vaccine_cross_immunity,emergences,trials
2,0,-270,0.625,0,5241,25000
2,0,-270,0.6666666666666666,0,5286,25000
2,0,-270,0.7083333333333333,0,5283,25000
2,0,-270,0.75,0,5133,25000
2,0,-270,0.7916666666666666,0,5296,25000
2,0,-270,0.8333333333333333,0,5207,25000
2,0,-270,0.875,0,5101,25000
2,0,-270,0.9166666666666666,0,5261,25000
2,0,-270,0.9583333333333331,0,5230,25000
2,0,-270,1,0,5172,25000
2,0,-240,0,0,5279,25000
2,0,-240,0.0416666666666666,0,5150,25000
2,0,-240,0.0833333333333333,0,5167,25000
2,0,-240,0.125,0,5238,25000
2,0,-240,0.1666666666666666,0,5197,25000
2,0,-240,0.2083333333333333,0,5245,25000
2,0,-240,0.25,0,5107,25000
2,0,-240,0.2916666666666666,0,5180,25000
2,0,-240,0.3333333333333333,0,5294,25000
2,0,-240,0.375,0,5184,25000
2,0,-240,0.4166666666666666,0,5222,25000
2,0,-240,0.4583333333333333,0,5229,25000
2,0,-240,0.5,0,5273,25000
2,0,-240,0.5416666666666666,0,5357,25000
2,0,-240,0.5833333333333333,0,5276,25000
2,0,-240,0.625,0,5227,25000
2,0,-240,0.6666666666666666,0,5279,25000
2,0,-240,0.7083333333333333,0,5228,25000
2,0,-240,0.75,0,5102,25000
2,0,-240,0.7916666666666666,0,5159,25000
2,0,-240,0.8333333333333333,0,5185,25000
2,0,-240,0.875,0,5289,25000
2,0,-240,0.9166666666666666,0,5257,25000
2,0,-240,0.9583333333333331,0,5231,25000
2,0,-240,1,0,5244,25000
2,0,-210,0,0,5204,25000
2,0,-210,0.0416666666666666,0,5211,25000
2,0,-210,0.0833333333333333,0,5117,25000
2,0,-210,0.125,0,5133,25000
2,0,-210,0.1666666666666666,0,5308,25000
2,0,-210,0.2083333333333333,0,5303,25000
2,0,-210,0.25,0,5153,25000
2,0,-210,0.2916666666666666,0,5122,25000
2,0,-210,0.3333333333333333,0,5331,25000
2,0,-210,0.375,0,5225,25000
2,0,-210,0.4166666666666666,0,5157,25000
2,0,-210,0.4583333333333333,0,5145,25000
2,0,-210,0.5,0,5272,25000
2,0,-210,0.5416666666666666,0,5143,25000
2,0,-210,0.5833333333333333,0,5223,25000
2,0,-210,0.625,0,5136,25000
2,0,-210,0.6666666666666666,0,5209,25000
2,0,-210,0.7083333333333333,0,5140,25000
2,0,-210,0.75,0,5207,25000
2,0,-210,0.7916666666666666,0,5127,25000
2,0,-210,0.8333333333333333,0,5207,25000
2,0,-210,0.875,0,5230,25000
2,0,-210,0.9166666666666666,0,5341,25000
2,0,-210,0.9583333333333331,0,5205,25000
2,0,-210,1,0,5174,25000
2,0,-180,0,0,5023,25000
2,0,-180,0.0416666666666666,0,5125,25000
2,0,-180,0.0833333333333333,0,5259,25000
2,0,-180,0.125,0,5206,25000
2,0,-180,0.1666666666666666,0,5164,25000
2,0,-180,0.2083333333333333,0,5427,25000
2,0,-180,0.25,0,5292,25000
2,0,-180,0.2916666666666666,0,5152,25000
2,0,-180,0.3333333333333333,0,5161,25000
2,0,-180,0.375,0,5138,25000
2,0,-180,0.4166666666666666,0,5153,25000
2,0,-180,0.4583333333333333,0,5197,25000
2,0,-180,0.5,0,5149,25000
2,0,-180,0.5416666666666666,0,5139,25000
2,0,-180,0.5833333333333333,0,5262,25000
2,0,-180,0.625,0,5298,25000
2,0,-180,0.6666666666666666,0,5328,25000
2,0,-180,0.7083333333333333,0,5171,25000
2,0,-180,0.75,0,5306,25000
2,0,-180,0.7916666666666666,0,5311,25000
2,0,-180,0.8333333333333333,0,5255,25000
2,0,-180,0.875,0,5154,25000
2,0,-180,0.9166666666666666,0,5283,25000
2,0,-180,0.9583333333333331,0,5216,25000
2,0,-180,1,0,5217,25000
2,0,-150,0,0,5176,25000
2,0,-150,0.0416666666666666,0,5148,25000
2,0,-150,0.0833333333333333,0,5237,25000
2,0,-150,0.125,0,5230,25000
