R0_wuhan,recovery_wuhan,waning_wuhan,R0_alpha,recovery_alpha,waning_alpha,R0_delta,recovery_delta,waning_delta,R0_omicron,recovery_omicron,waning_omicron,weight
1.5637806087943644,0.04835869464511405,0.0019632842938754774,2.4096282946754957,0.4304898905996453,6.567672500121148e-4,2.595861601484323,0.07795088258868314,8.651376478068414e-4,3.4162324203190924,0.34789899670755764,0.012398631401923427,0.006221218389495916
1.5771563337843504,0.0498585786402552,0.0016641526407911533,2.295904852808543,0.41418306812686834,7.114911581442235e-4,2.629036824688514,0.09884641277044308,0.0058035334096731665,3.2393763129926927,0.2844038693075586,0.011895627963105355,0.0015543361369288963
1.5983144890529966,0.04936814813050776,8.888185713667242e-4,2.1958667866316213,0.3738968447585443,6.258426605764172e-4,2.6034135376342773,0.08435684250643445,0.0020242256120718994,3.176938584837009,0.32523714019482897,0.011988972333432024,0.009444711442368438
1.5697869815080454,0.04942507241167208,0.0017730646718063787,2.4056844886847646,0.40492884727267053,0.0010601909190590779,2.661595475647802,0.10363113955005368,6.156106445828807e-4,3.6348867771595246,0.4427504356817109,0.017676483816439964,0.0036416394490016548
1.5796229978807577,0.0496610013269153,0.008377727347308003,2.2591641523697072,0.4090290344756311,7.763352924485418e-4,2.516555028974374,0.08938901558484842,0.0018735682853878548,2.908892823318973,0.3477005012642448,0.01435786832765691,0.003332106385249797
1.5617011663680735,0.04910285020809432,0.019252435848820422,2.361955741040103,0.4288930676922205,2.0613999368255276e-4,2.8317426602642986,0.1017400396958614,3.070594241833744e-4,3.6565039683592713,0.4188443802244127,0.012232187093273832,0.003782610897731105
1.624660449905013,0.04819772616069338,0.0015711426475823942,2.0511368974108786,0.30899898161382644,3.6183079666794233e-4,2.5612282615529205,0.07317695697462284,5.003463451865903e-4,2.9349516883512634,0.3027767133681934,0.014307135925214069,0.0020094885156430957
1.5754096320425788,0.04989065753304285,0.002547828011235173,2.328532264396604,0.4209185192152939,3.1367103399572145e-4,2.6345165043355516,0.11090388104513126,5.359751806708922e-4,3.7511683854096107,0.43435651096642025,0.012073586359570274,0.002158876396281083
1.565734621325956,0.04853535189174414,0.0019047810614246311,2.3907805385529466,0.415031511568609,1.404995403086887e-4,2.820634231764258,0.07494594859225145,1.0951174109545481e-4,3.010490267218365,0.2916201334046644,0.011347120260406957,0.0035200567996639094
1.5897494126874916,0.04885175018541198,4.4990765645604674e-4,2.2102692081129978,0.3842788892135603,9.102389670194708e-5,2.715207038231706,0.09786985738355214,0.0025324944845975935,3.564410597063224,0.3983877225104291,0.011823792771410368,5.812372521669318e-4
