R0,natural_cross_immunity,vaccine_timing,vaccine_coverage,vaccine_cross_immunity,group,emergences,trials
3,0,120,0.125,0,5,137,333
4,0,120,0.125,0,5,159,333
5,0,120,0.125,0,5,178,333
6,0,120,0.125,0,5,206,333
2,0.25,120,0.125,0.25,5,45,333
3,0.25,120,0.125,0.25,5,115,333
4,0.25,120,0.125,0.25,5,128,333
5,0.25,120,0.125,0.25,5,156,333
6,0.25,120,0.125,0.25,5,196,333
2,0.5,120,0.125,0.5,5,20,333
3,0.5,120,0.125,0.5,5,70,333
4,0.5,120,0.125,0.5,5,107,333
5,0.5,120,0.125,0.5,5,161,333
6,0.5,120,0.125,0.5,5,170,333
2,0.75,120,0.125,0.75,5,1,333
3,0.75,120,0.125,0.75,5,21,333
4,0.75,120,0.125,0.75,5,69,333
5,0.75,120,0.125,0.75,5,126,333
6,0.75,120,0.125,0.75,5,139,333
2,1,120,0.125,1,5,0,333
3,1,120,0.125,1,5,0,333
4,1,120,0.125,1,5,5,333
5,1,120,0.125,1,5,25,333
6,1,120,0.125,1,5,65,333
2,0,150,0.125,0,5,63,333
3,0,150,0.125,0,5,144,333
4,0,150,0.125,0,5,155,333
5,0,150,0.125,0,5,183,333
6,0,150,0.125,0,5,212,333
2,0.25,150,0.125,0.25,5,40,333
3,0.25,150,0.125,0.25,5,112,333
4,0.25,150,0.125,0.25,5,144,333
5,0.25,150,0.125,0.25,5,165,333
6,0.25,150,0.125,0.25,5,200,333
2,0.5,150,0.125,0.5,5,21,333
3,0.5,150,0.125,0.5,5,68,333
4,0.5,150,0.125,0.5,5,120,333
5,0.5,150,0.125,0.5,5,141,333
6,0.5,150,0.125,0.5,5,166,333
2,0.75,150,0.125,0.75,5,0,333
3,0.75,150,0.125,0.75,5,33,333
4,0.75,150,0.125,0.75,5,72,333
5,0.75,150,0.125,0.75,5,106,333
6,0.75,150,0.125,0.75,5,138,333
2,1,150,0.125,1,5,0,333
3,1,150,0.125,1,5,0,333
4,1,150,0.125,1,5,5,333
5,1,150,0.125,1,5,24,333
6,1,150,0.125,1,5,54,333
2,0,180,0.125,0,5,60,333
3,0,180,0.125,0,5,128,333
4,0,180,0.125,0,5,165,333
5,0,180,0.125,0,5,191,333
6,0,180,0.125,0,5,212,333
2,0.25,180,0.125,0.25,5,47,333
3,0.25,180,0.125,0.25,5,100,333
4,0.25,180,0.125,0.25,5,140,333
5,0.25,180,0.125,0.25,5,185,333
6,0.25,180,0.125,0.25,5,212,333
2,0.5,180,0.125,0.5,5,27,333
3,0.5,180,0.125,0.5,5,66,333
4,0.5,180,0.125,0.5,5,111,333
5,0.5,180,0.125,0.5,5,136,333
6,0.5,180,0.125,0.5,5,150,333
2,0.75,180,0.125,0.75,5,2,333
3,0.75,180,0.125,0.75,5,26,333
4,0.75,180,0.125,0.75,5,74,333
5,0.75,180,0.125,0.75,5,107,333
6,0.75,180,0.125,0.75,5,138,333
2,1,180,0.125,1,5,0,333
